log2FoldChange,pvalue,padj
-1.120311,0.0001321372,0.001864099
-0.9144863,4.423992e-05,0.0007927488
-1.61033,2.991002e-11,2.06645e-08
-1.404737,1.213829e-08,1.509518e-06
0.588698,0.0263641,0.09314317
-1.317387,8.611253e-06,0.000229766
-1.42464,5.11836e-06,0.0001522773
-0.6407824,0.01549134,0.0646044
-0.7625803,0.0003372637,0.003854973
-0.6032418,0.02985525,0.1027553
-0.9150342,0.001281654,0.010283
-1.523748,1.580627e-09,2.520087e-07
-1.008637,0.000357586,0.004028025
-0.3516941,0.04790703,0.1452394
-0.571976,0.004456539,0.02565811
-0.5588748,0.02403723,0.0874567
0.820143,1.181242e-05,0.0002907184
0.40987,0.03022312,0.1037699
0.6265267,0.0006802499,0.006366155
0.5218389,0.04467742,0.1378793
0.6560073,0.001045303,0.008759694
-0.5439421,0.009459301,0.04531428
0.54335,0.04302023,0.1338838
0.7560335,0.0001165828,0.001689772
0.5635103,0.02479245,0.08914539
-0.6426546,0.02144273,0.08074899
0.3856984,0.01786787,0.07140259
-0.7400659,0.004199115,0.02460895
0.5573487,0.008658156,0.04243
-0.6596409,0.01631045,0.0671645
0.5160163,0.008319022,0.04105371
-0.6271781,0.005213631,0.02892532
0.5667663,0.01869326,0.07375298
0.5251606,0.04036201,0.129091
0.5599566,0.0008213102,0.00733751
0.61111,3.653293e-05,0.0006842221
-1.169691,8.654658e-05,0.001312553
-0.8953656,0.0001825208,0.002420563
0.6179911,0.001472124,0.01149959
0.616129,0.006421808,0.03400283
0.84233,0.0006915828,0.006425149
0.4495559,0.004854136,0.0275896
-0.7358359,0.007536638,0.03834167
-0.3868954,0.02129098,0.08043328
-0.7293291,0.003981236,0.02375751
-0.4960908,0.01933976,0.07563184
0.4490126,0.001121658,0.009274558
0.544883,0.008755737,0.04273404
0.503342,0.01685389,0.06858476
-0.5773602,0.03518137,0.1160518
0.5431525,0.04831138,0.1457546
-1.008784,3.129491e-07,1.965573e-05
0.7343563,0.0004812025,0.004986862
-0.4834607,0.01097279,0.05053985
0.7183989,0.000135152,0.001882298
0.6772223,0.007939244,0.03965221
-0.9426513,0.0001103142,0.001617769
-0.692309,0.002067381,0.01474194
0.6203389,0.006714622,0.03502644
0.3049027,0.03451099,0.1145087
-0.6486864,0.01770617,0.0710303
0.9718672,3.202196e-07,1.974302e-05
-0.5476549,0.03957619,0.1272413
0.4479392,0.006616001,0.03462819
0.4749383,0.01815982,0.07201387
-0.4827886,0.04223023,0.1322859
