log2FoldChange,pvalue,padj
-0.8647151,0.002566189,0.02268192
-0.5036923,0.01181383,0.06615524
-1.323617,7.149711e-08,6.102789e-06
-1.56766,2.558835e-09,4.368296e-07
-1.201478,0.0001029445,0.002106485
-0.7642462,0.00533009,0.03703173
-2.10698,1.187316e-17,1.418842e-14
-2.550839,2.879866e-23,1.72072e-19
-0.7961686,0.004823,0.03501504
-1.502516,1.18819e-08,1.544026e-06
-0.9767491,0.001501288,0.01561773
-0.7188226,0.006899581,0.04464939
-0.4775515,0.04864126,0.1696623
-0.4801508,0.009942195,
-0.5500813,6.546694e-05,0.001504481
-0.5378422,0.00011065,0.002226039
0.9491705,0.0002774849,0.004605478
0.5824496,0.02519435,0.1094809
0.5136388,0.01206881,0.06687288
0.5175899,0.02847502,0.1193115
-0.8046235,0.003488982,0.02790719
-0.4851158,0.01048352,0.06087372
0.8929315,0.001688114,0.01677382
0.7328658,0.001113035,0.01243062
0.3354415,0.04724827,0.1661615
-0.6996916,0.01202639,0.0667202
0.8436629,0.001552073,0.01593183
0.5747097,0.01877158,0.09081611
-0.4641989,0.009372115,0.05627979
0.3638705,0.0353062,0.135728
0.5542276,0.01628472,0.08266883
-0.2986494,0.02928923,0.12153
-0.4373333,0.03293845,0.1300775
-0.3127312,0.02389684,0.1058414
0.4877849,0.03409527,0.1326297
0.87085,0.003447966,0.02771204
-1.093219,1.438532e-07,1.101952e-05
0.4014167,0.04988214,0.1717843
0.6701321,0.0003062458,0.004999505
-0.6977909,0.002715516,0.02368644
0.4839133,0.02757202,0.1166765
0.4163618,0.03017751,0.1235851
-0.471789,0.0006618278,0.008662093
0.4954035,0.02342709,0.1043046
-0.4908202,0.01625399,0.08258298
-0.4294356,0.0207135,0.09639419
0.7184503,0.002294898,0.02104568
0.8914414,0.00346851,0.02778063
-1.014724,1.07649e-14,8.040034e-12
0.6056351,0.001299171,0.01403716
-0.8719824,4.508412e-05,0.00111394
0.8421663,0.000147965,0.002797755
-1.10794,1.225526e-11,4.881678e-09
-0.6276836,0.002340506,0.02138306
0.7036493,0.0008378578,0.01025861
0.9475672,6.890381e-07,4.244332e-05
-1.21221,1.591806e-05,0.0004979603
-0.686997,0.001853621,0.01792134
