log2FoldChange,pvalue,padj
1.110938,0.0005035467,0.007197827
1.191167,0.0002787354,0.004613419
1.289804,1.062957e-06,5.620503e-05
1.018587,0.0008851477,0.01064136
1.127968,0.0006047282,0.008085477
1.084868,0.000524233,0.007387482
1.000168,0.0001224454,0.002406615
1.187611,0.000435477,0.006568313
1.088881,0.0004310338,0.006524712
1.018861,2.93282e-06,0.00012885
1.272053,9.764574e-11,3.070702e-08
1.162695,1.751712e-05,0.0005327059
1.042621,0.0001382374,0.002640665
1.059321,1.413832e-05,0.0004511252
1.292836,1.026858e-05,0.0003486067
1.146861,1.090595e-05,0.0003681529
1.663293,1.74265e-08,2.041634e-06
1.041469,0.0005904208,0.007989808
1.26933,1.275956e-05,0.0004120994
1.112608,7.423464e-05,0.001661911
1.302224,3.3225e-05,0.0008823083
1.062887,0.0006733864,0.008708839
1.092172,8.920754e-06,0.0003191707
1.819362,3.995573e-08,3.850573e-06
1.036291,7.711891e-06,0.0002879909
1.088935,0.0004508467,0.00668439
1.071571,2.16987e-05,0.0006324378
1.043508,0.0001914729,0.003435588
1.021644,0.001368015,0.01451845
1.608197,0.000101501,0.002088816
1.865953,1.984637e-08,2.263124e-06
1.014713,8.247886e-05,0.001785548
1.230755,0.0001872071,0.003399885
1.027021,0.0007976611,0.009867547
1.344209,4.579989e-08,4.146278e-06
1.87862,2.200739e-08,2.435077e-06
1.073858,0.0009050948,0.01077279
1.173146,0.0001839254,0.003380665
1.348252,0.0002026389,0.003574362
1.250703,7.617039e-05,0.001679403
1.283151,8.41229e-05,0.001808037
1.664199,8.747312e-07,5.025499e-05
1.13573,0.0003596911,0.005761809
1.32727,3.433684e-15,2.930895e-12
1.055379,3.554862e-07,2.469802e-05
1.061923,4.747864e-05,0.00115319
1.002637,6.287567e-06,0.0002471593
1.007162,0.001248082,0.01363336
1.038957,9.450355e-05,0.001988235
1.206085,3.775753e-07,2.524217e-05
1.114091,0.0001062673,0.002152363
1.035527,0.0008700435,0.0105233
1.183648,0.0002624162,0.004379711
1.541871,3.123401e-09,5.04387e-07
1.320083,0.0001253022,0.00245469
1.28454,9.689483e-07,5.294195e-05
1.088652,0.000367171,0.005819223
1.258559,6.464487e-06,0.0002518513
1.104577,1.908928e-05,0.0005657744
1.299269,6.24908e-05,0.00145285
1.385148,8.273279e-11,2.907814e-08
1.462836,7.0003e-07,4.265675e-05
1.462163,8.992083e-07,5.082507e-05
1.425095,3.721349e-08,3.696427e-06
1.158073,1.086017e-06,5.692065e-05
1.13483,1.143547e-05,0.0003791983
1.323874,1.233718e-07,9.699299e-06
1.259257,8.990737e-06,0.0003197598
1.116475,0.0002044752,0.003574362
1.028276,1.621817e-05,0.0005047059
1.099362,5.57857e-05,0.001308028
1.173742,1.494153e-05,0.0004723578
1.265032,2.709964e-06,0.0001217446
3.758596,6.460818e-05,0.001490478
2.066869,5.32499e-10,1.044866e-07
1.901991,2.946086e-07,2.095579e-05
1.100643,0.0004157487,0.006394169
1.430175,0.0001014585,0.002088816
1.075096,0.0001296883,0.002524064
1.278994,3.244369e-08,3.461626e-06
1.026492,0.0005637587,0.007743583
1.030521,2.454469e-05,0.0006983548
1.043564,0.0008722305,0.01052844
1.661755,3.670906e-09,5.772016e-07
1.298598,1.49912e-06,7.342004e-05
1.28689,3.483896e-05,0.0009170168
1.123977,4.727288e-11,1.765346e-08
1.325064,5.29965e-05,0.001266616
1.120001,0.0009630556,0.01117569
1.180095,0.000399885,0.00618993
1.297762,3.571749e-06,0.0001502901
1.07379,0.0006823368,0.008784948
1.112336,0.0002304202,0.003944874
1.148964,0.0001294945,0.002524064
1.585377,3.725786e-07,2.524217e-05
1.712651,1.231524e-05,0.0003999108
1.170397,0.000558273,0.007721485
2.218612,1.124986e-08,1.52768e-06
1.389699,5.421063e-10,1.044866e-07
1.087329,1.132508e-05,0.0003780299
1.216983,8.990945e-10,1.678778e-07
1.707755,1.021556e-06,5.461363e-05
1.500575,2.52354e-09,4.368296e-07
1.446349,3.531128e-08,3.695519e-06
1.016061,0.0001050777,0.002135508
1.05644,0.0005830853,0.007918034
1.446428,4.695977e-05,0.001149123
1.377984,0.0001222376,0.002406615
1.048199,9.202234e-06,0.0003253452
1.214595,1.107183e-06,5.752537e-05
1.289314,7.85021e-07,4.553884e-05
1.203733,2.68774e-06,0.0001216609
1.007033,0.0006232359,0.008293618
1.169066,1.314785e-06,6.772277e-05
1.256348,3.241371e-05,0.0008684525
1.859053,0.001055994,0.01198412
2.565154,0.0006684023,0.008683614
20.27641,2.208957e-10,5.999325e-08
19.30019,1.950584e-06,9.249791e-05
1.405429,0.00174398,0.01722361
1.982816,1.188706e-08,1.544026e-06
1.374052,5.123753e-05,0.001234453
1.184246,7.554205e-05,0.001671718
1.320986,9.672012e-07,5.294195e-05
1.442559,3.457892e-16,3.443484e-13
1.178786,0.0004162898,0.006394169
1.816712,4.075774e-08,3.865516e-06
1.316626,7.697143e-05,0.001690825
1.029219,0.0003939507,0.006145837
1.449017,9.313161e-08,7.837484e-06
1.068253,6.888281e-05,0.001564923
1.406159,7.813136e-07,4.553884e-05
1.106295,8.104949e-06,0.0003007893
1.142481,0.0001048558,0.002135508
1.688971,2.864688e-07,2.06223e-05
1.029971,0.001323337,0.01421669
1.206229,0.0001487751,0.002804199
1.15672,8.662861e-06,0.0003118108
1.08557,2.161451e-06,0.0001016903
1.000051,0.001334822,0.01421669
1.073313,1.468779e-06,7.252855e-05
1.013564,0.0004751223,0.006873743
1.67666,1.757104e-07,1.312337e-05
1.301963,3.889004e-05,0.001001586
