log2FoldChange,pvalue,padj
1.065185,6.263108e-05,0.001024842
1.171439,7.458115e-07,3.685699e-05
1.595021,1.114807e-09,1.92552e-07
1.421138,3.193761e-08,3.203033e-06
1.125515,3.048554e-10,7.020707e-08
1.073967,9.831059e-11,3.056476e-08
1.086467,9.08607e-06,0.0002354049
1.542733,2.029326e-08,2.253277e-06
1.157395,1.017271e-07,7.713895e-06
1.005423,4.409325e-05,0.0007927488
1.016116,5.645597e-07,3.05255e-05
1.077171,1.394196e-06,5.779409e-05
1.128605,9.158865e-06,0.0002363063
1.025697,0.0004807742,0.004986862
1.117548,1.907334e-06,7.231587e-05
1.069311,1.276416e-05,0.0003064384
1.092988,3.326144e-07,1.98865e-05
3.686138,7.750669e-05,0.001220093
1.189679,4.439971e-05,0.0007933259
1.037803,2.138858e-06,7.916321e-05
1.0847,4.526569e-06,0.0001386513
1.091197,1.28849e-06,5.413399e-05
1.183199,1.117807e-07,8.030891e-06
1.021747,1.188022e-06,5.025254e-05
1.219791,7.035238e-10,1.272114e-07
1.099145,1.783433e-07,1.179722e-05
1.028535,9.799289e-07,4.415361e-05
1.0177,5.297254e-05,0.0009174939
1.221667,5.156712e-11,2.466495e-08
1.048445,0.0002967232,0.003527773
1.687229,4.780171e-10,9.907701e-08
1.047949,3.918055e-05,0.0007235832
1.329302,1.311161e-06,5.471679e-05
1.068915,4.231868e-12,5.262751e-09
1.108065,1.028077e-06,4.501818e-05
1.189466,2.056079e-07,1.31801e-05
1.202807,3.417936e-11,2.125272e-08
1.052898,0.0001175325,0.001695631
1.036147,0.003577397,0.02202401
7.573808,0.0001760534,0.002358243
1.798373,0.001737151,0.01295936
2.062648,0.001450917,0.01139133
20.49454,1.893933e-07,1.239629e-05
20.89575,7.708091e-11,2.788438e-08
19.2018,3.238643e-07,1.974302e-05
1.515348,0.002173437,0.01523611
1.127535,5.137646e-05,0.0008948427
1.045653,8.933818e-05,0.001345048
6.604124,0.0002006194,0.002598857
1.092767,7.590775e-12,7.866573e-09
1.069595,5.948155e-07,3.161165e-05
1.042696,2.649922e-09,3.831911e-07
1.048057,3.619163e-06,0.0001177649
1.018357,1.586199e-06,6.322425e-05
1.086121,1.847055e-06,7.133533e-05
1.181361,1.636791e-10,4.117033e-08
1.177927,1.066137e-05,0.0002671543
1.008248,2.256262e-09,3.367892e-07
1.585043,7.187413e-11,2.788438e-08
1.034213,5.909667e-07,3.161165e-05
